Name,DbId,GUID,NameCount
1JNL9322340_A-1JNL9322340 - Pyramid,5,8d3567ff-612b-3878-a628-4b9d838df628,1
"1JNL9362899_A-Electrical design requirements, MVS1, NER, Aux Tx-building, Cable ways",6,cd06ec2a-dde8-35e7-bb84-94eaba646aaa,1
1JNL9441111_A-Cable Ladder 90 450,14,c9232a6d-75c5-3739-a3c2-3777ac67e597,3
1JNL9441111_A-Cable Ladder 90 450,15,3d931300-8be8-3a23-a464-9cedb7d98460,3
1JNL9441111_A-Cable Ladder 90 450,19,19f22aef-af24-3a1c-b63f-1703e94e50ba,3
1JNL9442575_A-MVS Cable Ladder P1,10,76440f25-e447-3cc5-958e-8727a44d872d,1
1JNL9442576_A-K6 cable tray MVS P1,9,c91648b7-3272-3ce6-92e1-f4279dbf9478,1
1JNL9442631_A-Cable Ladder MVS,13,366c5df3-80dd-34c1-95f6-f69c55125c61,3
1JNL9442631_A-Cable Ladder MVS,17,69eed907-29dc-3444-89dd-6e9fe484ce1b,3
1JNL9442631_A-Cable Ladder MVS,18,97558d3b-c88d-3c4c-b66f-b2109faa27c0,3
1JNL9442632_A-Cable Ladder MVS,21,e850826a-a5ad-37b1-9e43-da3a757b49af,3
1JNL9442632_A-Cable Ladder MVS,22,d58d58b8-74eb-36e1-8edb-0af9b1129293,3
1JNL9442632_A-Cable Ladder MVS,23,9c0b638e-d014-3013-ade3-f83270326350,3
1JNL9442633_A-Cable Ladder MVS,12,167265d4-c3e5-3071-b189-599004f7b9f3,3
1JNL9442633_A-Cable Ladder MVS,16,5b00d1af-e807-3f5e-bc90-b4ab1b39b423,3
1JNL9442633_A-Cable Ladder MVS,20,a378d9c0-1349-32e1-9dad-1b5310fafdc9,3
ASTIDC-STAN-HE-EPD-MVB1-M-E-0002.ifc,1,b68858ba-08a3-5823-ab81-f132bb34e8f1,1
Body,8,,161
Body,11,,161
Body,24,,161
Body,25,,161
Body,26,,161
Body,27,,161
Body,28,,161
Body,29,,161
Body,30,,161
Body,31,,161
Body,32,,161
Body,33,,161
Body,34,,161
Body,35,,161
Body,36,,161
Body,37,,161
Body,38,,161
Body,39,,161
Body,40,,161
Body,41,,161
Body,42,,161
Body,43,,161
Body,44,,161
Body,45,,161
Body,46,,161
Body,47,,161
Body,48,,161
Body,49,,161
Body,50,,161
Body,51,,161
Body,52,,161
Body,53,,161
Body,54,,161
Body,55,,161
Body,56,,161
Body,57,,161
Body,58,,161
Body,59,,161
Body,60,,161
Body,61,,161
Body,62,,161
Body,63,,161
Body,64,,161
Body,65,,161
Body,66,,161
Body,67,,161
Body,68,,161
Body,69,,161
Body,70,,161
Body,71,,161
Body,72,,161
Body,73,,161
Body,74,,161
Body,75,,161
Body,76,,161
Body,77,,161
Body,78,,161
Body,79,,161
Body,80,,161
Body,81,,161
Body,82,,161
Body,83,,161
Body,84,,161
Body,85,,161
Body,86,,161
Body,87,,161
Body,88,,161
Body,89,,161
Body,90,,161
Body,91,,161
Body,92,,161
Body,93,,161
Body,94,,161
Body,95,,161
Body,96,,161
Body,97,,161
Body,98,,161
Body,99,,161
Body,100,,161
Body,101,,161
Body,102,,161
Body,103,,161
Body,104,,161
Body,105,,161
Body,106,,161
Body,107,,161
Body,108,,161
Body,109,,161
Body,110,,161
Body,111,,161
Body,112,,161
Body,113,,161
Body,114,,161
Body,115,,161
Body,116,,161
Body,117,,161
Body,118,,161
Body,119,,161
Body,120,,161
Body,121,,161
Body,122,,161
Body,123,,161
Body,124,,161
Body,125,,161
Body,126,,161
Body,127,,161
Body,128,,161
Body,129,,161
Body,130,,161
Body,131,,161
Body,132,,161
Body,133,,161
Body,134,,161
Body,135,,161
Body,136,,161
Body,137,,161
Body,138,,161
Body,139,,161
Body,140,,161
Body,141,,161
Body,142,,161
Body,143,,161
Body,144,,161
Body,145,,161
Body,146,,161
Body,147,,161
Body,148,,161
Body,149,,161
Body,150,,161
Body,151,,161
Body,152,,161
Body,153,,161
Body,154,,161
Body,155,,161
Body,156,,161
Body,157,,161
Body,158,,161
Body,159,,161
Body,160,,161
Body,161,,161
Body,162,,161
Body,163,,161
Body,164,,161
Body,165,,161
Body,166,,161
Body,167,,161
Body,168,,161
Body,169,,161
Body,170,,161
Body,171,,161
Body,172,,161
Body,173,,161
Body,174,,161
Body,175,,161
Body,176,,161
Body,177,,161
Body,178,,161
Body,179,,161
Body,180,,161
Body,181,,161
Body,182,,161
Default Building,3,f73c5fbf-200c-394e-8dd7-fbddc1837410,1
MVS Cable Ways P1,2,ae654d82-287d-36d1-b27e-791046a1240a,1
